country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
CA,NB,New Brunswick,Duck Islands,way,117019403,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Nantucket Island,way,117151083,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Low Duck Island,way,117151457,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Great Duck Island,way,117151482,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Long Island,way,117151615,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Dinner Island,way,369599588,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Nub Island,way,369611346,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Pumpkin Islet,way,696022265,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Pumpkin Island,way,696022271,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Cull Island,way,696022336,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Western Green Island,way,696022337,9,Wards/Districts,Q22599267,,,,
CA,NB,New Brunswick,South Green Island,way,696022339,9,Wards/Districts,,,,,
CA,NB,New Brunswick,North Green Island,way,696022340,9,Wards/Districts,,,,,
CA,NB,New Brunswick,High Duck Island,way,696022341,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Sheep Island,way,696022343,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Hay Island,way,696022344,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Wood Island,way,696022348,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Kent Island,way,696022349,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Ross Island,way,696022352,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Isles Parish,way,696041828,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Isles Parish,way,696041838,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Isles Parish,way,696041839,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Isles Parish,way,696041844,9,Wards/Districts,,,,,
CA,NB,New Brunswick,The Nubble,way,696041846,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Isles Parish,way,696041847,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Isles Parish,way,696041849,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Isles Parish,way,696041852,9,Wards/Districts,,,,,
CA,NB,New Brunswick,The Pup,way,696041857,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Tinkers Island,way,696041860,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Little Mowat Island,way,696041861,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Crow Island,way,696041862,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Fish Island,way,696041867,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Popes Island,way,696041868,9,Wards/Districts,,,,,
CA,NB,New Brunswick,West Isles Parish,way,696041869,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Sandy Island,way,696041872,9,Wards/Districts,,,,,
CA,NB,New Brunswick,New Ireland,way,696041873,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Mowat Island,way,696041875,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bar Island,way,696041876,9,Wards/Districts,,,,,
CA,NB,New Brunswick,St. Helena Island,way,696041878,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Jameson Island,way,696041879,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Spurce Island,way,696041880,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Hardwood Island,way,696041881,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Barnes Island,way,696041882,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Adam Island,way,696041884,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Simpsons Island,way,696041885,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Parker Island,way,696041887,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Beans Island,way,696041888,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Macs Island,way,696041889,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Indian Island,way,696046557,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,696046558,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Navy Island,way,696507363,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Pocologon Island,way,696792984,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Flea island,way,696795564,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Hills Island,way,696795567,9,Wards/Districts,,,,,
CA,NB,New Brunswick,White Horse Islet,way,696799819,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Cheney island,way,696799827,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Wood Island,way,696799828,9,Wards/Districts,,,,,
CA,NB,New Brunswick,White Head Island,way,696799829,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Île à William,way,697011520,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bird Island,way,697020747,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Hospital Island,way,697020748,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Dicks Island,way,697020749,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Hog Island,way,697020752,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Hardwood Island,way,697020753,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Long Island,way,697020754,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Île du Portage,way,697023332,9,Wards/Districts,,,,,
CA,NB,New Brunswick,New River Island,way,697042234,9,Wards/Districts,,,,,
CA,NB,New Brunswick,,way,697878971,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Duck Islands,way,697878972,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Duck Islands,way,697878973,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Gooseberry Island,way,697881262,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Manawagonish Island,way,697888004,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Thumb Cap,way,697888897,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Île-au-Crâne,way,698033288,9,Wards/Districts,,,,,
CA,NB,New Brunswick,,way,993207282,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346903,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346914,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346916,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346917,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346919,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346920,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346921,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346925,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Bliss Island,way,1387346926,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Barnes Island,way,1388301457,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Barnes Island,way,1388301458,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Barnes Island,way,1388301459,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Mowat Island,relation,9674303,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Indian Island,relation,9674306,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Cosco Bay Island,relation,9674307,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Jameson Island,relation,9674308,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Macs Island,relation,9674309,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Parker Island,relation,9674310,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Barnes Island,relation,9674311,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Spurce Island,relation,9674312,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Simpsons Island,relation,9674313,9,Wards/Districts,,,,,
CA,NB,New Brunswick,St. Helena Island,relation,9674314,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Beans Island,relation,9674315,9,Wards/Districts,,,,,
CA,NB,New Brunswick,Navy Island,relation,9680104,9,Wards/Districts,,,,,
