country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
CA,NL,Newfoundland and Labrador,,way,777410356,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,778123005,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,778123009,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,778370025,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,778913140,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,779434033,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,782541161,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,782541162,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,782543874,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,782543879,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,809960024,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,912206651,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,912209438,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,922769791,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,,way,1292160733,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Clovelly Trails,relation,10760853,9,Wards/Districts,Q5135849,,,,
CA,NL,Newfoundland and Labrador,Georgestown,relation,10761713,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,The Battery,relation,10761714,9,Wards/Districts,Q7715814,,,,
CA,NL,Newfoundland and Labrador,Rabbittown,relation,10765803,9,Wards/Districts,Q7278647,,,,
CA,NL,Newfoundland and Labrador,Quidi Vidi,relation,10765944,9,Wards/Districts,Q7271814,,,,
CA,NL,Newfoundland and Labrador,Churchill Park,relation,10766133,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Pleasantville,relation,10766762,9,Wards/Districts,Q7204146,,,,
CA,NL,Newfoundland and Labrador,Virginia Park,relation,10766763,9,Wards/Districts,Q7934446,,,,
CA,NL,Newfoundland and Labrador,Spruce Meadows,relation,10766764,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Little Canada,relation,10766765,9,Wards/Districts,,,Centennial Park,,
CA,NL,Newfoundland and Labrador,Signal Hill,relation,10767568,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Bannerman,relation,10767569,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Waterford Valley,relation,10767960,9,Wards/Districts,Q7974055,,,,
CA,NL,Newfoundland and Labrador,Sesame Park,relation,10768113,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Brookfield,relation,10768114,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Cowan Heights,relation,10768706,9,Wards/Districts,Q5179437,,,,
CA,NL,Newfoundland and Labrador,Airport Heights,relation,10768844,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Kent's Pond,relation,10768861,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Bally Haly,relation,10772257,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,East Meadows,relation,10772492,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,East Point Landing,relation,10772512,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Stavanger Drive,relation,10772764,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Wedgewood Park,relation,10775474,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Glenvilla Court,relation,10775475,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Fort William,relation,10777587,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Seaborn,relation,10777726,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Baird,relation,10777728,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Summerville,relation,10780014,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Bells Turn,relation,10780106,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Ecclesiastical District,relation,10782427,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Downtown,relation,10782541,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Pennywell,relation,10783099,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Mundy Pond,relation,10783157,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Fairview Acres,relation,10783204,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Glenview Heights,relation,10783219,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,White Hills,relation,10786872,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Robinhood Bay,relation,10786873,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Mount Cashel,relation,10786903,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Rennies Mill,relation,10787049,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Airport Road,relation,10788633,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Pippy Park,relation,10789826,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Memorial University of Newfoundland main campus,relation,10793319,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Cumberland,relation,10847635,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,O'Leary's,relation,10847636,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Wigmore,relation,10847637,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,King William Estates,relation,10855891,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Virginia Waters,relation,10855892,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Woodlands,relation,10855893,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Shea Heights,relation,10873518,9,Wards/Districts,,,,,
CA,NL,Newfoundland and Labrador,Eastbourne Crescent,relation,10916822,9,Wards/Districts,,,,,
