country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
CA,NS,Nova Scotia,Bedford Common,way,23010053,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,71435958,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Timber Trails,way,71616359,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Burnside Industrial Park,way,97633541,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,104104453,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,104105072,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,122161628,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Springfield Estates,way,123039779,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Sunset Ridge,way,123045204,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,123048117,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,123048133,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,123280277,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Christmas Island,way,149983537,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Heather Estates,way,159360588,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Gibbon,way,162624548,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Sunnydale,way,200529006,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Lourdes,way,239509341,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Dartmouth Crossing,way,301790256,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Nottingham,way,462177509,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,City of Lakes Business Park,way,463724725,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Wrights Cove,way,464230951,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,465668038,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,468015976,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,485781865,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Erindale Estates,way,486221068,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,,way,497203938,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Bedford Village,way,511875011,10,Neighbourhoods/Hamlets/Localities,,,,,
CA,NS,Nova Scotia,Shoreview,way,514299691,10,Neighbourhoods/Hamlets/Localities,,,,,
