country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
CA,NT,Northwest Territories,,way,914571452,6,Counties/Regional Districts/Divisions,,,,,
CA,NT,Northwest Territories,Inuvialuit Settlement Region,relation,8309397,6,Counties/Regional Districts/Divisions,Q762864,,,,
CA,NT,Northwest Territories,Tuktoyaktuk,relation,9463355,6,Counties/Regional Districts/Divisions,Q719547,,,,
CA,NT,Northwest Territories,Akłavik,relation,9463357,6,Counties/Regional Districts/Divisions,Q420187,,,,
CA,NT,Northwest Territories,Yellowknife,relation,9476822,6,Counties/Regional Districts/Divisions,Q2061,,City of Yellowknife,,
CA,NT,Northwest Territories,Inuvik,relation,9476864,6,Counties/Regional Districts/Divisions,Q338686,,,,
CA,NT,Northwest Territories,Tulita,relation,9490327,6,Counties/Regional Districts/Divisions,Q731517,,,,
CA,NT,Northwest Territories,Tsiigehtchic,relation,9494782,6,Counties/Regional Districts/Divisions,Q1014088,,,,
CA,NT,Northwest Territories,Fort McPherson,relation,9495317,6,Counties/Regional Districts/Divisions,Q1014119,,,,
CA,NT,Northwest Territories,Fort Liard,relation,9495323,6,Counties/Regional Districts/Divisions,Q1438605,,,,
CA,NT,Northwest Territories,Villiage of Fort Simpson,relation,9495325,6,Counties/Regional Districts/Divisions,,,,,
CA,NT,Northwest Territories,K’ásho Got’iné,relation,9495364,6,Counties/Regional Districts/Divisions,Q201313,,,,
CA,NT,Northwest Territories,Fort Smith,relation,9495768,6,Counties/Regional Districts/Divisions,Q686415,,,,
CA,NT,Northwest Territories,Paulatuk,relation,9495771,6,Counties/Regional Districts/Divisions,Q465235,,,,
CA,NT,Northwest Territories,Sachs Harbour (Ikaahuk),relation,9495772,6,Counties/Regional Districts/Divisions,Q719379,,,,
CA,NT,Northwest Territories,Hay River,relation,9495777,6,Counties/Regional Districts/Divisions,Q1013062,,,,
CA,NT,Northwest Territories,Ulukhaktok,relation,9495778,6,Counties/Regional Districts/Divisions,Q718822,,,,
CA,NT,Northwest Territories,Enterprise,relation,9495948,6,Counties/Regional Districts/Divisions,Q5380265,,,,
CA,NT,Northwest Territories,Whatì,relation,9495972,6,Counties/Regional Districts/Divisions,Q1430715,,,,
CA,NT,Northwest Territories,Wekweètì,relation,9495973,6,Counties/Regional Districts/Divisions,Q7980483,,,,
CA,NT,Northwest Territories,Gamèti,relation,9495977,6,Counties/Regional Districts/Divisions,Q1493315,,,,
CA,NT,Northwest Territories,Norman Wells,relation,9495979,6,Counties/Regional Districts/Divisions,Q3343828,,,,
CA,NT,Northwest Territories,Fort Providence,relation,9495980,6,Counties/Regional Districts/Divisions,Q949160,,,,
CA,NT,Northwest Territories,Fort Resolution,relation,9495981,6,Counties/Regional Districts/Divisions,Q1438687,,,,
CA,NT,Northwest Territories,Behchokǫ̀,relation,12603688,6,Counties/Regional Districts/Divisions,Q814458,,,,
CA,NT,Northwest Territories,Déline District,relation,18308208,6,Counties/Regional Districts/Divisions,Q131301218,,,,
