country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
CA,NU,ᓄᓇᕗᑦ Nunavut,,way,401316490,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,,way,401316491,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,,way,401316492,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,,way,401316493,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Sanikiluaq,way,401690368,8,Municipalities/Cities/Towns/Villages,Q939231,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,,way,407791298,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,,way,407791299,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,,way,408641801,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,,way,408641817,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Whale Cove,way,416591570,8,Municipalities/Cities/Towns/Villages,Q2120077,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Fort Ross,way,509326700,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Pangniqtung,way,681478692,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Resolute,relation,6002501,8,Municipalities/Cities/Towns/Villages,Q606622,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Iqaluktuuttiaq (Cambridge Bay),relation,6007219,8,Municipalities/Cities/Towns/Villages,Q719611,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᒥᑦᑎᒪᑕᓕᒃ Pond Inlet,relation,6007251,8,Municipalities/Cities/Towns/Villages,Q1017702,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᑲᖏᖅᑐᒑᐱᒃ Clyde River,relation,6007265,8,Municipalities/Cities/Towns/Villages,Q201351,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᐃᒡᓗᓕᒃ Igloolik,relation,6024145,8,Municipalities/Cities/Towns/Villages,Q999339,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᓴᓂᕋᔭᒃ,relation,6117537,8,Municipalities/Cities/Towns/Villages,Q1571291,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᐊᕐᕕᐊᑦ Arviat,relation,6198792,8,Municipalities/Cities/Towns/Villages,Q643346,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᓴᓪᓕᖅ Coral Harbour,relation,6213185,8,Municipalities/Cities/Towns/Villages,Q652770,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Kugluktuk,relation,6247427,8,Municipalities/Cities/Towns/Villages,Q719707,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᑭᒻᒥᕈᑦ Kimmirut,relation,6262218,8,Municipalities/Cities/Towns/Villages,Q284160,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᑭᙵᐃᑦ,relation,6263580,8,Municipalities/Cities/Towns/Villages,Q665280,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᐸᖕᓂᖅᑑᖅ Pangnirtung,relation,6273321,8,Municipalities/Cities/Towns/Villages,Q631747,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᕿᙵᐅᓐ Bathurst Inlet,relation,6353205,8,Municipalities/Cities/Towns/Villages,Q810806,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᓇᐅᔮᑦ Naujaat,relation,6488928,8,Municipalities/Cities/Towns/Villages,Q1723761,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᐅᖅᓱᖅᑑᖅ Gjoa Haven,relation,6496925,8,Municipalities/Cities/Towns/Villages,Q719585,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᑕᓗᕐᔪᐊᕐᒃ Taloyoak,relation,6496936,8,Municipalities/Cities/Towns/Villages,Q719605,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Eureka,relation,9445466,8,Municipalities/Cities/Towns/Villages,Q745928,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Iqaluit ᐃᖃᓗᐃᑦ,relation,9445565,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Canadian Forces Station Alert,relation,9454008,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Dundas Harbour,relation,9456721,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Pangniqtuuq,relation,9456869,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Killiniq,relation,9456931,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᐃᒃᐱᐊᕐᔪᒃ Arctic Bay,relation,9462765,8,Municipalities/Cities/Towns/Villages,Q638017,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᓇᓂᓯᕕᒃ Nanisivik,relation,9462773,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Baker Lake,relation,9462840,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᐃᒡᓗᓕᒑᕐᔪᒃ Chesterfield Inlet,relation,9462852,8,Municipalities/Cities/Towns/Villages,Q1070783,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᐊᐅᔪᐃᑦᑐᖅ Grise Fiord,relation,9462909,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᑰᒑᕐᔪᒃ Kugaaruk,relation,9462923,8,Municipalities/Cities/Towns/Villages,Q642458,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᕿᑭᖅᑕᕐᔪᐊᖅ Qikiqtarjuaq,relation,9462983,8,Municipalities/Cities/Towns/Villages,Q1370641,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,ᑲᖏᕿᓂᖅ Rankin Inlet,relation,9462999,8,Municipalities/Cities/Towns/Villages,Q1021766,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Sanikiluaq,relation,9463000,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Whale Cove,relation,9463044,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Fort Ross,relation,9472640,8,Municipalities/Cities/Towns/Villages,,,,,
CA,NU,ᓄᓇᕗᑦ Nunavut,Read Island,relation,14130683,8,Municipalities/Cities/Towns/Villages,,,,,
