country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
CA,PE,Prince Edward Island,Lennox Island 1,way,169491315,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,Rocky Point 3,way,169491349,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491362,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491363,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491370,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491373,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491378,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491379,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491385,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491389,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491394,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,6,way,169491395,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491398,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491400,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491405,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491406,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491409,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491410,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491415,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491416,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,,way,169491419,6,Counties/Regional Districts/Divisions,,,,,
CA,PE,Prince Edward Island,6,way,169491422,6,Counties/Regional Districts/Divisions,,,,,
