country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,AL,Alabama,Franklin County,way,24326394,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,24326403,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Perry County,way,24326404,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Henry County,way,24326411,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,24326415,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Bibb County,way,24326425,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Conecuh County,way,24326458,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Lowndes County,way,24326459,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,24326462,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,24326468,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Monroe County,way,24326470,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Cleburne County,way,24326471,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Colbert County,way,24326473,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Cullman County,way,24326480,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Winston County,way,24326481,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Sumter County,way,24326486,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,24326494,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,137202536,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Bibb County,way,137202540,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Chilton County,way,137202574,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Chilton County,way,137202576,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Conecuh County,way,137202605,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Conecuh County,way,137202610,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Covington County,way,137202613,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,137202616,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Covington County,way,137202620,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Covington County,way,137202624,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Crenshaw County,way,137202628,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Crenshaw County,way,137202632,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Cullman County,way,137202634,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Cullman County,way,137202637,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Elmore County,way,137202639,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,137202643,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Fayette County,way,137202649,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Franklin County,way,137202652,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,137202656,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,137202658,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Hale County,way,137202662,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Hale County,way,137202676,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,137202679,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Lamar County,way,137202683,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Lauderdale County,way,137202689,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Lauderdale County,way,137202694,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Limestone County,way,137202702,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Limestone County,way,137202705,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Lowndes County,way,137202709,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Lowndes County,way,137202712,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Lowndes County,way,137202716,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Madison County,way,137202722,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Madison County,way,137202726,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Sand Creek,way,137202729,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Marengo County,way,137202731,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Marengo County,way,137202733,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Marengo County,way,137202737,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Marion County,way,137202740,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Marshall County,way,137202741,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Marshall County,way,137202748,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Monroe County,way,137202769,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Montgomery County,way,137202779,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Morgan County,way,137202788,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Perry County,way,137202790,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,137202793,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Perry County,way,137202798,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Pickens County,way,137202801,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Pickens County,way,137202803,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Pickens County,way,137202804,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Pickens County,way,137202807,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Saint Clair County,way,137202812,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Saint Clair County,way,137202819,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Sumter County,way,137202820,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Tuscaloosa County,way,137202824,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Tuscaloosa County,way,137202827,6,Counties/County-equivalents,,,,,
US,AL,Alabama,Tuscaloosa County,way,137202828,6,Counties/County-equivalents,,,,,
US,AL,Alabama,,way,137202832,6,Counties/County-equivalents,,,,,
