country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,AS,American Samoa,,way,40999619,7,Townships/Boroughs/Districts,,,,,
US,AS,American Samoa,,way,40999793,7,Townships/Boroughs/Districts,,,,,
US,AS,American Samoa,,way,927306629,7,Townships/Boroughs/Districts,,,,,
US,AS,American Samoa,,way,1085814950,7,Townships/Boroughs/Districts,,,,,
US,AS,American Samoa,,way,1085814991,7,Townships/Boroughs/Districts,,,,,
US,AS,American Samoa,Saʻole County,relation,4027508,7,Townships/Boroughs/Districts,Q3688580,,,,
US,AS,American Samoa,Vaifanua County,relation,4027511,7,Townships/Boroughs/Districts,Q3688712,,,,
US,AS,American Samoa,Suʻa County,relation,4027527,7,Townships/Boroughs/Districts,Q3688661,,,,
US,AS,American Samoa,Maʻopūtasi County,relation,4027537,7,Townships/Boroughs/Districts,Q3688363,,,,
US,AS,American Samoa,Ituʻau County,relation,4027538,7,Townships/Boroughs/Districts,Q3688257,,,,
US,AS,American Samoa,Tualauta County,relation,4027544,7,Townships/Boroughs/Districts,Q3688698,,,,
US,AS,American Samoa,Leasina County,relation,4027563,7,Townships/Boroughs/Districts,Q3688323,,,,
US,AS,American Samoa,Tualatai County,relation,4027568,7,Townships/Boroughs/Districts,Q3688697,,,,
US,AS,American Samoa,Lealataua County,relation,4027698,7,Townships/Boroughs/Districts,Q3688321,,,,
US,AS,American Samoa,Faleāsao County,relation,4027741,7,Townships/Boroughs/Districts,Q3688174,,,,
US,AS,American Samoa,Fitiʻuta County,relation,4027742,7,Townships/Boroughs/Districts,Q3688179,,,,
US,AS,American Samoa,Ofu County,relation,4027743,7,Townships/Boroughs/Districts,Q3688471,,,,
US,AS,American Samoa,Olosega County,relation,4027744,7,Townships/Boroughs/Districts,Q3688476,,,,
US,AS,American Samoa,Taʻū County,relation,4027745,7,Townships/Boroughs/Districts,Q3688671,,,,
