country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,GU,Guam,,way,508535279,6,Counties/County-equivalents,,,,,
US,GU,Guam,Yona Municipality,relation,7403841,6,Counties/County-equivalents,Q2638381,,,,
US,GU,Guam,Talo’fo’fo’ Municipality,relation,7403842,6,Counties/County-equivalents,Q2482468,,,,
US,GU,Guam,Sinajana Municipality,relation,7403843,6,Counties/County-equivalents,Q2482489,,,,
US,GU,Guam,Piti Municipality,relation,7403844,6,Counties/County-equivalents,Q2482463,,,,
US,GU,Guam,Mongmong-Toto-Maite Municipality,relation,7403845,6,Counties/County-equivalents,Q1780393,,,,
US,GU,Guam,Hagåtña Municipality,relation,7403846,6,Counties/County-equivalents,Q30988,,,,
US,GU,Guam,Chalan Pago-Ordot Municipality,relation,7403847,6,Counties/County-equivalents,Q2482483,,,,
US,GU,Guam,Agana Heights Municipality,relation,7403848,6,Counties/County-equivalents,Q2714496,,,,
US,GU,Guam,Barrigada Municipality,relation,7403849,6,Counties/County-equivalents,Q2714489,,,,
US,GU,Guam,Dededo Municipality,relation,7403850,6,Counties/County-equivalents,Q1182147,,,,
US,GU,Guam,Mangilao Municipality,relation,7403851,6,Counties/County-equivalents,Q2637935,,,,
US,GU,Guam,Yigo Municipality,relation,7403852,6,Counties/County-equivalents,Q2482473,,,,
US,GU,Guam,Humåtak Municipality,relation,7403853,6,Counties/County-equivalents,Q531529,,,,
US,GU,Guam,Tamuning Municipality,relation,7403854,6,Counties/County-equivalents,Q933714,,,,
US,GU,Guam,Sånta Rita-Sumai Municipality,relation,7403855,6,Counties/County-equivalents,Q1780381,,,,
US,GU,Guam,Malesso’ Municipality,relation,7403856,6,Counties/County-equivalents,Q2482497,,,,
US,GU,Guam,Inalåhan Municipality,relation,7403857,6,Counties/County-equivalents,Q2482456,,,,
US,GU,Guam,Asan Municipality,relation,7403858,6,Counties/County-equivalents,Q6385952,,,,
US,GU,Guam,Hågat Municipality,relation,7403859,6,Counties/County-equivalents,Q665845,,,,
