country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,HI,Hawaii,Kalama Valley,relation,10045905,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Kamiloiki,relation,10045906,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Hawaii Kai Ridge & Cove,relation,10045907,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Lunalilo Park Mauka,relation,10045908,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Hahaione High Rise,relation,10045909,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Hahaione Valley,relation,10045910,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Marina West,relation,10045911,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Marina Central,relation,10045912,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Marina East,relation,10045913,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Lunalilo Park Makai,relation,10045914,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Koko Head,relation,10045915,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Kalani Valley,relation,10138625,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Waialae Iki Ridge - New Increment,relation,10142527,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Wiliwilinui,relation,10142530,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Kainani/Wailupe,relation,10142608,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Waialae Iki and Wiliwilinui,relation,10142611,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,‘Āina Haina,relation,10142613,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,Kuliouou,relation,10142802,10,Neighborhoods/Hamlets,,,,,
US,HI,Hawaii,"Niu and Niuiki Circle, Hawaii Loa Ridge",relation,10142803,10,Neighborhoods/Hamlets,,,,,
