country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,IL,Illinois,Cook County,relation,122576,6,Counties/County-equivalents,Q108418,,Cook,,
US,IL,Illinois,Lee County,relation,536310,6,Counties/County-equivalents,Q491035,,Lee,,
US,IL,Illinois,Rock Island County,relation,536311,6,Counties/County-equivalents,Q491004,,Rock Island,,
US,IL,Illinois,Ogle County,relation,536312,6,Counties/County-equivalents,Q488560,,Ogle,,
US,IL,Illinois,Lake County,relation,536313,6,Counties/County-equivalents,Q484263,,Lake,,
US,IL,Illinois,Will County,relation,963483,6,Counties/County-equivalents,Q483942,,Will,,
US,IL,Illinois,Kankakee County,relation,963484,6,Counties/County-equivalents,Q494485,,Kankakee,,
US,IL,Illinois,Whiteside County,relation,1357318,6,Counties/County-equivalents,Q490972,,Whiteside,,
US,IL,Illinois,Kane County,relation,1383784,6,Counties/County-equivalents,Q486112,,Kane,,
US,IL,Illinois,McHenry County,relation,1558785,6,Counties/County-equivalents,Q487403,,McHenry,,
US,IL,Illinois,Hancock County,relation,1789870,6,Counties/County-equivalents,Q265079,,Hancock,,
US,IL,Illinois,Henderson County,relation,1790025,6,Counties/County-equivalents,Q486444,,Henderson,,
US,IL,Illinois,Mercer County,relation,1790104,6,Counties/County-equivalents,Q491427,,Mercer,,
US,IL,Illinois,Carroll County,relation,1792161,6,Counties/County-equivalents,Q488553,,Carroll,,
US,IL,Illinois,Jo Daviess County,relation,1792165,6,Counties/County-equivalents,Q486530,,Jo Daviess,,
US,IL,Illinois,Boone County,relation,1799705,6,Counties/County-equivalents,Q109756,,Boone,,
US,IL,Illinois,Stephenson County,relation,1799708,6,Counties/County-equivalents,Q491032,,Stephenson,,
US,IL,Illinois,Winnebago County,relation,1799709,6,Counties/County-equivalents,Q110606,,Winnebago,,
US,IL,Illinois,DeKalb County,relation,1800059,6,Counties/County-equivalents,Q111613,,Dekalb,,
US,IL,Illinois,DuPage County,relation,1800060,6,Counties/County-equivalents,Q109626,,DuPage,,
US,IL,Illinois,Grundy County,relation,1800061,6,Counties/County-equivalents,Q261380,,Grundy,,
US,IL,Illinois,Kendall County,relation,1800062,6,Counties/County-equivalents,Q112512,,Kendall,,
US,IL,Illinois,Ford County,relation,1800374,6,Counties/County-equivalents,Q486874,,Ford,,
US,IL,Illinois,Iroquois County,relation,1800375,6,Counties/County-equivalents,Q491011,,Iroquois,,
US,IL,Illinois,Livingston County,relation,1800376,6,Counties/County-equivalents,Q429814,,Livingston,,
US,IL,Illinois,McLean County,relation,1800377,6,Counties/County-equivalents,Q111400,,McLean,,
US,IL,Illinois,Woodford County,relation,1800378,6,Counties/County-equivalents,Q156437,,Woodford,,
US,IL,Illinois,Cass County,relation,1800573,6,Counties/County-equivalents,Q110516,,Cass,,
US,IL,Illinois,Christian County,relation,1800574,6,Counties/County-equivalents,Q111686,,Christian,,
US,IL,Illinois,Logan County,relation,1800575,6,Counties/County-equivalents,Q490980,,Logan,,
US,IL,Illinois,Macon County,relation,1800576,6,Counties/County-equivalents,Q115324,,Macon,,
US,IL,Illinois,Mason County,relation,1800577,6,Counties/County-equivalents,Q491343,,Mason,,
US,IL,Illinois,Menard County,relation,1800578,6,Counties/County-equivalents,Q486503,,Menard,,
US,IL,Illinois,Montgomery County,relation,1800579,6,Counties/County-equivalents,Q488492,,Montgomery,,
US,IL,Illinois,Morgan County,relation,1800580,6,Counties/County-equivalents,Q490989,,Morgan,,
US,IL,Illinois,Moultrie County,relation,1800581,6,Counties/County-equivalents,Q491321,,Moultrie,,
US,IL,Illinois,Sangamon County,relation,1800582,6,Counties/County-equivalents,Q490994,,Sangamon,,
US,IL,Illinois,Scott County,relation,1800583,6,Counties/County-equivalents,Q513010,,Scott,,
US,IL,Illinois,Shelby County,relation,1800584,6,Counties/County-equivalents,Q373953,,Shelby,,
US,IL,Illinois,Tazewell County,relation,1800585,6,Counties/County-equivalents,Q494560,,Tazewell,,
US,IL,Illinois,Adams County,relation,1800715,6,Counties/County-equivalents,Q108798,,Adams,,
US,IL,Illinois,Brown County,relation,1800716,6,Counties/County-equivalents,Q109761,,Brown,,
US,IL,Illinois,Bureau County,relation,1800717,6,Counties/County-equivalents,Q109518,,Bureau,,
US,IL,Illinois,Calhoun County,relation,1800718,6,Counties/County-equivalents,Q111633,,Calhoun,,
US,IL,Illinois,Fulton County,relation,1800719,6,Counties/County-equivalents,Q490999,,Fulton,,
US,IL,Illinois,Greene County,relation,1800720,6,Counties/County-equivalents,Q377023,,Greene,,
US,IL,Illinois,Henry County,relation,1800721,6,Counties/County-equivalents,Q486328,,Henry,,
US,IL,Illinois,Knox County,relation,1800722,6,Counties/County-equivalents,Q494552,,Knox,,
US,IL,Illinois,Marshall County,relation,1800723,6,Counties/County-equivalents,Q491463,,Marshall,,
US,IL,Illinois,McDonough County,relation,1800724,6,Counties/County-equivalents,Q500758,,McDonough,,
US,IL,Illinois,Peoria County,relation,1800725,6,Counties/County-equivalents,Q113079,,Peoria,,
US,IL,Illinois,Pike County,relation,1800726,6,Counties/County-equivalents,Q491017,,Pike,,
US,IL,Illinois,Putnam County,relation,1800727,6,Counties/County-equivalents,Q494579,,Putnam,,
US,IL,Illinois,Schuyler County,relation,1800728,6,Counties/County-equivalents,Q491026,,Schuyler,,
US,IL,Illinois,Stark County,relation,1800729,6,Counties/County-equivalents,Q500645,,Stark,,
US,IL,Illinois,Warren County,relation,1800730,6,Counties/County-equivalents,Q491021,,Warren,,
US,IL,Illinois,Jersey County,relation,1800759,6,Counties/County-equivalents,Q490986,,Jersey,,
US,IL,Illinois,Macoupin County,relation,1800760,6,Counties/County-equivalents,Q491447,,Macoupin,,
US,IL,Illinois,Madison County,relation,1800761,6,Counties/County-equivalents,Q486448,,Madison,,
US,IL,Illinois,Alexander County,relation,1800890,6,Counties/County-equivalents,Q108851,,Alexander,,
US,IL,Illinois,Clinton County,relation,1800891,6,Counties/County-equivalents,Q110555,,Clinton,,
US,IL,Illinois,Jackson County,relation,1800892,6,Counties/County-equivalents,Q486471,,Jackson,,
US,IL,Illinois,Johnson County,relation,1800893,6,Counties/County-equivalents,Q389783,,Johnson,,
US,IL,Illinois,Massac County,relation,1800894,6,Counties/County-equivalents,Q486476,,Massac,,
US,IL,Illinois,Monroe County,relation,1800895,6,Counties/County-equivalents,Q488522,,Monroe,,
US,IL,Illinois,Perry County,relation,1800896,6,Counties/County-equivalents,Q486517,,Perry,,
US,IL,Illinois,Pulaski County,relation,1800897,6,Counties/County-equivalents,Q488475,,Pulaski,,
US,IL,Illinois,Randolph County,relation,1800898,6,Counties/County-equivalents,Q486499,,Randolph,,
US,IL,Illinois,Saint Clair County,relation,1800899,6,Counties/County-equivalents,Q486507,,Saint Clair,,
US,IL,Illinois,Union County,relation,1800900,6,Counties/County-equivalents,Q486458,,Union,,
US,IL,Illinois,Washington County,relation,1800901,6,Counties/County-equivalents,Q486486,,Washington,,
US,IL,Illinois,Williamson County,relation,1800902,6,Counties/County-equivalents,Q486453,,Williamson,,
US,IL,Illinois,Franklin County,relation,1800954,6,Counties/County-equivalents,Q486491,,Franklin,,
US,IL,Illinois,Gallatin County,relation,1800955,6,Counties/County-equivalents,Q115332,,Gallatin,,
US,IL,Illinois,Hamilton County,relation,1800956,6,Counties/County-equivalents,Q115337,,Hamilton,,
US,IL,Illinois,Hardin County,relation,1800957,6,Counties/County-equivalents,Q486495,,Hardin,,
US,IL,Illinois,Pope County,relation,1800959,6,Counties/County-equivalents,Q112869,,Pope,,
US,IL,Illinois,Saline County,relation,1800960,6,Counties/County-equivalents,Q484224,,Saline,,
US,IL,Illinois,White County,relation,1800962,6,Counties/County-equivalents,Q488505,,White,,
US,IL,Illinois,Bond County,relation,1801515,6,Counties/County-equivalents,Q109526,,Bond,,
US,IL,Illinois,Champaign County,relation,1801516,6,Counties/County-equivalents,Q110187,,Champaign,,
US,IL,Illinois,Clark County,relation,1801517,6,Counties/County-equivalents,Q110532,,Clark,,
US,IL,Illinois,Clay County,relation,1801518,6,Counties/County-equivalents,Q110417,,Clay,,
US,IL,Illinois,Coles County,relation,1801520,6,Counties/County-equivalents,Q112137,,Coles,,
US,IL,Illinois,Cumberland County,relation,1801522,6,Counties/County-equivalents,Q110539,,Cumberland,,
US,IL,Illinois,DeWitt County,relation,1801523,6,Counties/County-equivalents,Q111672,,DeWitt,,
US,IL,Illinois,Douglas County,relation,1801524,6,Counties/County-equivalents,Q110325,,Douglas,,
US,IL,Illinois,Edgar County,relation,1801525,6,Counties/County-equivalents,Q484124,,Edgar,,
US,IL,Illinois,Edwards County,relation,1801526,6,Counties/County-equivalents,Q112488,,Edwards,,
US,IL,Illinois,Effingham County,relation,1801527,6,Counties/County-equivalents,Q110561,,Effingham,,
US,IL,Illinois,Fayette County,relation,1801528,6,Counties/County-equivalents,Q111584,,Fayette,,
US,IL,Illinois,Jasper County,relation,1801529,6,Counties/County-equivalents,Q486431,,Jasper,,
US,IL,Illinois,Jefferson County,relation,1801530,6,Counties/County-equivalents,Q486440,,Jefferson,,
US,IL,Illinois,LaSalle County,relation,1801531,6,Counties/County-equivalents,Q487003,,LaSalle,,
US,IL,Illinois,Lawrence County,relation,1801532,6,Counties/County-equivalents,Q491470,,Lawrence,,
US,IL,Illinois,Marion County,relation,1801533,6,Counties/County-equivalents,Q378438,,Marion,,
US,IL,Illinois,Piatt County,relation,1801534,6,Counties/County-equivalents,Q487322,,Piatt,,
US,IL,Illinois,Richland County,relation,1801535,6,Counties/County-equivalents,Q490966,,Richland,,
US,IL,Illinois,Vermilion County,relation,1801537,6,Counties/County-equivalents,Q484273,,Vermilion,,
US,IL,Illinois,Wabash County,relation,1801538,6,Counties/County-equivalents,Q486535,,Wabash,,
US,IL,Illinois,Wayne County,relation,1801539,6,Counties/County-equivalents,Q113793,,Wayne,,
US,IL,Illinois,Crawford County,relation,13109140,6,Counties/County-equivalents,Q110510,,,,
