country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,IN,Indiana,Dearborn County,relation,214426,6,Counties/County-equivalents,Q509757,,,,
US,IN,Indiana,Lake County,relation,963485,6,Counties/County-equivalents,Q512951,,,,
US,IN,Indiana,Newton County,relation,963486,6,Counties/County-equivalents,Q367632,,,,
US,IN,Indiana,Owen County,relation,1111453,6,Counties/County-equivalents,Q512767,,,,
US,IN,Indiana,Clay County,relation,1111455,6,Counties/County-equivalents,Q499542,,,,
US,IN,Indiana,Greene County,relation,1111456,6,Counties/County-equivalents,Q506181,,,,
US,IN,Indiana,Monroe County,relation,1112544,6,Counties/County-equivalents,Q512699,,,,
US,IN,Indiana,Sullivan County,relation,1187285,6,Counties/County-equivalents,Q426746,,,,
US,IN,Indiana,Brown County,relation,1325198,6,Counties/County-equivalents,Q499551,,,,
US,IN,Indiana,Bartholomew County,relation,1325365,6,Counties/County-equivalents,Q504385,,,,
US,IN,Indiana,Jackson County,relation,1325391,6,Counties/County-equivalents,Q506772,,,,
US,IN,Indiana,Jennings County,relation,1325524,6,Counties/County-equivalents,Q512965,,,,
US,IN,Indiana,Decatur County,relation,1325550,6,Counties/County-equivalents,Q1124916,,,,
US,IN,Indiana,Shelby County,relation,1325667,6,Counties/County-equivalents,Q431826,,,,
US,IN,Indiana,Putnam County,relation,1458328,6,Counties/County-equivalents,Q506531,,,,
US,IN,Indiana,Morgan County,relation,1458343,6,Counties/County-equivalents,Q512259,,,,
US,IN,Indiana,Johnson County,relation,1481859,6,Counties/County-equivalents,Q506563,,,,
US,IN,Indiana,Ripley County,relation,1481874,6,Counties/County-equivalents,Q506547,,,,
US,IN,Indiana,Daviess County,relation,1482336,6,Counties/County-equivalents,Q220005,,,,
US,IN,Indiana,Martin County,relation,1482338,6,Counties/County-equivalents,Q506479,,,,
US,IN,Indiana,Lawrence County,relation,1482339,6,Counties/County-equivalents,Q512732,,,,
