country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,MN,Minnesota,Arnold,relation,136662,9,Wards/Districts,Q1926579,,,,
US,MN,Minnesota,Hamline - Midway,relation,5258303,9,Wards/Districts,,,,,
US,MN,Minnesota,Southeast,relation,13238003,9,Wards/Districts,,,,,
US,MN,Minnesota,Dayton's Bluff,relation,13238225,9,Wards/Districts,Q5243468,,,,
US,MN,Minnesota,West Side,relation,13238309,9,Wards/Districts,,,,,
US,MN,Minnesota,Greater East Side,relation,13238325,9,Wards/Districts,,,,,
US,MN,Minnesota,Payne - Phalen,relation,13238349,9,Wards/Districts,,,,,
US,MN,Minnesota,North End,relation,13238531,9,Wards/Districts,Q96396323,,,,
US,MN,Minnesota,Downtown,relation,13238593,9,Wards/Districts,Q30066020,,,,
US,MN,Minnesota,West Seventh - Fort Road,relation,13241062,9,Wards/Districts,Q7986469,,,,
US,MN,Minnesota,Highland,relation,13241164,9,Wards/Districts,Q5758942,,,,
US,MN,Minnesota,Summit Hill,relation,13244174,9,Wards/Districts,,,,,
US,MN,Minnesota,Macalester - Groveland,relation,13244175,9,Wards/Districts,,,,,
US,MN,Minnesota,Summit - University,relation,13244309,9,Wards/Districts,,,,,
US,MN,Minnesota,Union Park,relation,13244310,9,Wards/Districts,Q17066619,,,,
US,MN,Minnesota,Saint Anthony Park,relation,13248006,9,Wards/Districts,Q7400984,,,,
US,MN,Minnesota,Como Park,relation,13248264,9,Wards/Districts,Q56796227,,,,
US,MN,Minnesota,Frogtown,relation,13248265,9,Wards/Districts,Q5505308,,,,
US,MN,Minnesota,Southwest,relation,13275977,9,Wards/Districts,Q2351324,,,,
US,MN,Minnesota,Calhoun Isles,relation,13276014,9,Wards/Districts,Q5019782,,,,
US,MN,Minnesota,Fond du Lac,relation,15792176,9,Wards/Districts,Q5464961,,,,
US,MN,Minnesota,Midway Annex,relation,15792177,9,Wards/Districts,,,,,
US,MN,Minnesota,Smithville,relation,15792178,9,Wards/Districts,Q14693049,,,,
US,MN,Minnesota,Gary-New Duluth,relation,15792180,9,Wards/Districts,Q5526228,,,,
US,MN,Minnesota,Morgan Park,relation,15792181,9,Wards/Districts,Q6911801,,,,
US,MN,Minnesota,Riverside,relation,15792298,9,Wards/Districts,Q7338407,,,,
US,MN,Minnesota,Norton Park,relation,15792337,9,Wards/Districts,Q7060670,,,,
US,MN,Minnesota,Bayview Heights,relation,15792563,9,Wards/Districts,Q4875011,,,,
US,MN,Minnesota,Cody,relation,15792581,9,Wards/Districts,Q5140394,,,,
US,MN,Minnesota,Piedmont Heights,relation,15792598,9,Wards/Districts,Q7191513,,,,
US,MN,Minnesota,Fairmount,relation,15792652,9,Wards/Districts,Q5430623,,,,
US,MN,Minnesota,Irving,relation,15792668,9,Wards/Districts,Q6074444,,,,
US,MN,Minnesota,Oneota,relation,15792676,9,Wards/Districts,Q7093727,,,,
US,MN,Minnesota,Spirit Valley,relation,15792680,9,Wards/Districts,Q7577919,,,,
US,MN,Minnesota,Lincoln Park,relation,15792714,9,Wards/Districts,Q6550916,,,,
US,MN,Minnesota,Park Point,relation,15792724,9,Wards/Districts,Q1937369,,,,
US,MN,Minnesota,Duluth Heights,relation,15792760,9,Wards/Districts,Q5313512,,,,
US,MN,Minnesota,North Shore,relation,15792816,9,Wards/Districts,Q7056652,,,,
US,MN,Minnesota,Lakeside-Lester Park,relation,15792829,9,Wards/Districts,Q14692760,,,,
US,MN,Minnesota,Rice Lake Annex,relation,15792844,9,Wards/Districts,,,,,
US,MN,Minnesota,Central Hillside,relation,15937631,9,Wards/Districts,,,,,
US,MN,Minnesota,Central Business District,relation,15937632,9,Wards/Districts,,,,,
US,MN,Minnesota,East Hillside,relation,15937633,9,Wards/Districts,,,,,
