country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,MO,Missouri,Lindenwood Park,relation,9668450,10,Neighborhoods/Hamlets,Q6552411,,,,
US,MO,Missouri,North Hampton,relation,9668451,10,Neighborhoods/Hamlets,Q7055531,,,,
US,MO,Missouri,Tower Grove South,relation,9668452,10,Neighborhoods/Hamlets,Q14704506,,,,
US,MO,Missouri,Southwest Garden,relation,9668453,10,Neighborhoods/Hamlets,Q7571279,,,,
US,MO,Missouri,Clifton Heights,relation,9668454,10,Neighborhoods/Hamlets,Q5133231,,,,
US,MO,Missouri,Ellendale,relation,9668455,10,Neighborhoods/Hamlets,Q5365104,,,,
US,MO,Missouri,Hi-Pointe,relation,9668977,10,Neighborhoods/Hamlets,Q5750241,,,,
US,MO,Missouri,Franz Park,relation,9668978,10,Neighborhoods/Hamlets,Q5492912,,,,
US,MO,Missouri,Clayton-Tamm,relation,9668979,10,Neighborhoods/Hamlets,Q5130169,,,,
US,MO,Missouri,Cheltenham,relation,9668980,10,Neighborhoods/Hamlets,Q5090178,,,,
US,MO,Missouri,Kings Oak,relation,9668981,10,Neighborhoods/Hamlets,Q6412973,,,,
US,MO,Missouri,The Hill,relation,9668982,10,Neighborhoods/Hamlets,Q7739677,,,,
US,MO,Missouri,Wydown Skinker,relation,9671255,10,Neighborhoods/Hamlets,Q8039677,,,,
US,MO,Missouri,Skinker DeBaliviere,relation,9671256,10,Neighborhoods/Hamlets,Q7535461,,,,
US,MO,Missouri,West End,relation,9671257,10,Neighborhoods/Hamlets,Q7985043,,,,
US,MO,Missouri,Visitation Park,relation,9671258,10,Neighborhoods/Hamlets,Q7936309,,,,
US,MO,Missouri,DeBaliviere Place,relation,9671259,10,Neighborhoods/Hamlets,Q5243855,,,,
US,MO,Missouri,Hamilton Heights,relation,9671260,10,Neighborhoods/Hamlets,Q14704297,,,,
US,MO,Missouri,Wells Goodfellow,relation,9671261,10,Neighborhoods/Hamlets,Q7981618,,,,
US,MO,Missouri,Kingsway West,relation,9673592,10,Neighborhoods/Hamlets,Q6413738,,,,
US,MO,Missouri,Academy,relation,9673593,10,Neighborhoods/Hamlets,Q4671325,,,,
US,MO,Missouri,Central West End,relation,9673594,10,Neighborhoods/Hamlets,Q5062019,,,,
US,MO,Missouri,Saint Louis Hills,relation,9674002,10,Neighborhoods/Hamlets,Q7589640,,,,
US,MO,Missouri,Southampton,relation,9674003,10,Neighborhoods/Hamlets,Q7569094,,,,
US,MO,Missouri,Princeton Heights,relation,9674004,10,Neighborhoods/Hamlets,Q7244962,,,,
US,MO,Missouri,Shaw,relation,9674085,10,Neighborhoods/Hamlets,Q7491136,,,,
US,MO,Missouri,Botanical Heights,relation,9674086,10,Neighborhoods/Hamlets,Q4948450,,,,
US,MO,Missouri,Tiffany,relation,9674087,10,Neighborhoods/Hamlets,Q7801181,,,,
US,MO,Missouri,Forest Park Southeast,relation,9674088,10,Neighborhoods/Hamlets,Q5469069,,,,
