country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,MS,Mississippi,,way,1386368544,8,Cities/Towns/Villages/Municipalities,,,,,
US,MS,Mississippi,,way,1386386844,8,Cities/Towns/Villages/Municipalities,,,,,
US,MS,Mississippi,,way,1386497577,8,Cities/Towns/Villages/Municipalities,,,,,
US,MS,Mississippi,,way,1386518252,8,Cities/Towns/Villages/Municipalities,,,,,
US,MS,Mississippi,,way,1386525162,8,Cities/Towns/Villages/Municipalities,,,,,
US,MS,Mississippi,,way,1388407481,8,Cities/Towns/Villages/Municipalities,,,,,
US,MS,Mississippi,Jackson,relation,109847,8,Cities/Towns/Villages/Municipalities,Q28198,,,,
US,MS,Mississippi,Byhalia,relation,109848,8,Cities/Towns/Villages/Municipalities,Q892509,,,,
US,MS,Mississippi,Oxford,relation,109850,8,Cities/Towns/Villages/Municipalities,Q983822,,,,
US,MS,Mississippi,Aberdeen,relation,109851,8,Cities/Towns/Villages/Municipalities,Q1065452,,,,
US,MS,Mississippi,Coldwater,relation,109854,8,Cities/Towns/Villages/Municipalities,Q892656,,,,
US,MS,Mississippi,Pearl,relation,109858,8,Cities/Towns/Villages/Municipalities,Q1998349,,,,
US,MS,Mississippi,Paden,relation,109859,8,Cities/Towns/Villages/Municipalities,Q920401,,,,
US,MS,Mississippi,Hernando,relation,109860,8,Cities/Towns/Villages/Municipalities,Q2273128,,,,
US,MS,Mississippi,Walls,relation,109861,8,Cities/Towns/Villages/Municipalities,Q269472,,,,
US,MS,Mississippi,Lucedale,relation,109863,8,Cities/Towns/Villages/Municipalities,Q1822215,,,,
US,MS,Mississippi,Sherman,relation,109868,8,Cities/Towns/Villages/Municipalities,Q2301134,,,,
US,MS,Mississippi,Ridgeland,relation,109872,8,Cities/Towns/Villages/Municipalities,Q892431,,,,
US,MS,Mississippi,Greenwood,relation,109874,8,Cities/Towns/Villages/Municipalities,Q986376,,,,
US,MS,Mississippi,Laurel,relation,109881,8,Cities/Towns/Villages/Municipalities,Q934987,,,,
US,MS,Mississippi,Oakland,relation,109887,8,Cities/Towns/Villages/Municipalities,Q304086,,,,
US,MS,Mississippi,Mount Olive,relation,109903,8,Cities/Towns/Villages/Municipalities,Q2425185,,,,
US,MS,Mississippi,Lyon,relation,109907,8,Cities/Towns/Villages/Municipalities,Q867818,,,,
US,MS,Mississippi,Monticello,relation,109915,8,Cities/Towns/Villages/Municipalities,Q2073653,,,,
US,MS,Mississippi,Greenville,relation,109925,8,Cities/Towns/Villages/Municipalities,Q988112,,,,
US,MS,Mississippi,Sumrall,relation,109935,8,Cities/Towns/Villages/Municipalities,Q2113784,,,,
US,MS,Mississippi,Brooksville,relation,109941,8,Cities/Towns/Villages/Municipalities,Q892252,,,,
US,MS,Mississippi,Biloxi,relation,109956,8,Cities/Towns/Villages/Municipalities,Q490720,,,,
US,MS,Mississippi,Ethel,relation,109959,8,Cities/Towns/Villages/Municipalities,Q2161133,,,,
US,MS,Mississippi,Columbus AFB,relation,109982,8,Cities/Towns/Villages/Municipalities,Q1657653,,,,
US,MS,Mississippi,Diamondhead,relation,110003,8,Cities/Towns/Villages/Municipalities,Q2468977,,,,
US,MS,Mississippi,Red Bay,relation,110274,8,Cities/Towns/Villages/Municipalities,Q80035,,,,City of Red Bay
US,MS,Mississippi,Pearl River,relation,253821,8,Cities/Towns/Villages/Municipalities,Q1851252,,,,
US,MS,Mississippi,Hattiesburg,relation,253879,8,Cities/Towns/Villages/Municipalities,Q384464,,,,
US,MS,Mississippi,Olive Branch,relation,1832800,8,Cities/Towns/Villages/Municipalities,Q867475,,,,
US,MS,Mississippi,Southaven,relation,1832801,8,Cities/Towns/Villages/Municipalities,Q768007,,,,
US,MS,Mississippi,Redwater,relation,2291979,8,Cities/Towns/Villages/Municipalities,Q2709538,,,,
US,MS,Mississippi,Carthage,relation,2291980,8,Cities/Towns/Villages/Municipalities,Q1929919,,,,
US,MS,Mississippi,Summit,relation,2585908,8,Cities/Towns/Villages/Municipalities,Q2105278,,,,
US,MS,Mississippi,McComb,relation,2585909,8,Cities/Towns/Villages/Municipalities,Q846178,,,,
US,MS,Mississippi,Artesia,relation,2593024,8,Cities/Towns/Villages/Municipalities,Q892401,,,,
US,MS,Mississippi,Derma,relation,2634695,8,Cities/Towns/Villages/Municipalities,Q762124,,,,
US,MS,Mississippi,Calhoun City,relation,2634696,8,Cities/Towns/Villages/Municipalities,Q867145,,,,
US,MS,Mississippi,Flowood,relation,2777725,8,Cities/Towns/Villages/Municipalities,Q2160623,,,,
US,MS,Mississippi,Richland,relation,2777727,8,Cities/Towns/Villages/Municipalities,Q625828,,,,
