country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,MT,Montana,Deer Lodge County,relation,142396,6,Counties/County-equivalents,Q490774,,,,
US,MT,Montana,Big Horn County,relation,288661,6,Counties/County-equivalents,Q109503,,Big Horn,,
US,MT,Montana,Beaverhead County,relation,418305,6,Counties/County-equivalents,Q110212,,Beaverhead,,
US,MT,Montana,Mineral County,relation,555127,6,Counties/County-equivalents,Q370329,,Mineral,,
US,MT,Montana,Flathead County,relation,1232199,6,Counties/County-equivalents,Q496607,,Flathead,,
US,MT,Montana,Glacier County,relation,1232200,6,Counties/County-equivalents,Q31091,,Glacier,,
US,MT,Montana,Sweet Grass County,relation,1242988,6,Counties/County-equivalents,Q496616,,Sweet Grass,,
US,MT,Montana,Park County,relation,1242989,6,Counties/County-equivalents,Q496644,,Park,,
US,MT,Montana,Gallatin County,relation,1242990,6,Counties/County-equivalents,Q387978,,Gallatin,,
US,MT,Montana,Stillwater County,relation,1242992,6,Counties/County-equivalents,Q490750,,Stillwater,,
US,MT,Montana,Carbon County,relation,1491031,6,Counties/County-equivalents,Q192992,,Carbon,,
US,MT,Montana,Lincoln County,relation,1536523,6,Counties/County-equivalents,Q490344,,Lincoln,,
US,MT,Montana,Carter County,relation,1739799,6,Counties/County-equivalents,Q193072,,Carter,,
US,MT,Montana,Fallon County,relation,1739812,6,Counties/County-equivalents,Q373575,,Fallon,,
US,MT,Montana,Richland County,relation,1740307,6,Counties/County-equivalents,Q496716,,Richland,,
US,MT,Montana,Roosevelt County,relation,1740309,6,Counties/County-equivalents,Q496751,,Roosevelt,,
US,MT,Montana,Sheridan County,relation,1740310,6,Counties/County-equivalents,Q496629,,Sheridan,,
US,MT,Montana,Wibaux County,relation,1740319,6,Counties/County-equivalents,Q496109,,Wibaux,,
US,MT,Montana,Blaine County,relation,1740617,6,Counties/County-equivalents,Q192650,,Blaine,,
US,MT,Montana,Broadwater County,relation,1740618,6,Counties/County-equivalents,Q192753,,Broadwater,,
US,MT,Montana,Cascade County,relation,1740619,6,Counties/County-equivalents,Q193167,,Cascade,,
US,MT,Montana,Chouteau County,relation,1740620,6,Counties/County-equivalents,Q193230,,Chouteau,,
US,MT,Montana,Custer County,relation,1740621,6,Counties/County-equivalents,Q490789,,Custer,,
US,MT,Montana,Daniels County,relation,1740622,6,Counties/County-equivalents,Q427315,,Daniels,,
US,MT,Montana,Dawson County,relation,1740623,6,Counties/County-equivalents,Q490762,,Dawson,,
US,MT,Montana,Fergus County,relation,1740625,6,Counties/County-equivalents,Q496693,,Fergus,,
US,MT,Montana,Garfield County,relation,1740626,6,Counties/County-equivalents,Q486961,,Garfield,,
US,MT,Montana,Golden Valley County,relation,1740627,6,Counties/County-equivalents,Q502554,,Golden Valley,,
US,MT,Montana,Granite County,relation,1740628,6,Counties/County-equivalents,Q496622,,Granite,,
US,MT,Montana,Hill County,relation,1740629,6,Counties/County-equivalents,Q496589,,Hill,,
US,MT,Montana,Jefferson County,relation,1740630,6,Counties/County-equivalents,Q496737,,Jefferson,,
US,MT,Montana,Judith Basin County,relation,1740631,6,Counties/County-equivalents,Q490471,,Judith Basin,,
US,MT,Montana,Lake County,relation,1740632,6,Counties/County-equivalents,Q496700,,Lake,,
US,MT,Montana,Lewis and Clark County,relation,1740633,6,Counties/County-equivalents,Q496656,,Lewis and Clark,,
US,MT,Montana,Liberty County,relation,1740634,6,Counties/County-equivalents,Q496568,,Liberty,,
US,MT,Montana,Madison County,relation,1740635,6,Counties/County-equivalents,Q496596,,Madison,,
US,MT,Montana,McCone County,relation,1740636,6,Counties/County-equivalents,Q497652,,McCone,,
US,MT,Montana,Meagher County,relation,1740637,6,Counties/County-equivalents,Q491569,,Meagher,,
US,MT,Montana,Missoula County,relation,1740638,6,Counties/County-equivalents,Q496558,,Missoula,,
US,MT,Montana,Musselshell County,relation,1740639,6,Counties/County-equivalents,Q496583,,Musselshell,,
US,MT,Montana,Petroleum County,relation,1740640,6,Counties/County-equivalents,Q496636,,Petroleum,,
US,MT,Montana,Phillips County,relation,1740641,6,Counties/County-equivalents,Q496577,,Phillips,,
US,MT,Montana,Pondera County,relation,1740642,6,Counties/County-equivalents,Q496708,,Pondera,,
US,MT,Montana,Powder River County,relation,1740643,6,Counties/County-equivalents,Q496242,,Powder River,,
US,MT,Montana,Powell County,relation,1740644,6,Counties/County-equivalents,Q496602,,Powell,,
US,MT,Montana,Prairie County,relation,1740645,6,Counties/County-equivalents,Q496678,,Prairie,,
US,MT,Montana,Ravalli County,relation,1740646,6,Counties/County-equivalents,Q496758,,Ravalli,,
US,MT,Montana,Rosebud County,relation,1740647,6,Counties/County-equivalents,Q496664,,Rosebud,,
US,MT,Montana,Sanders County,relation,1740648,6,Counties/County-equivalents,Q490734,,Sanders,,
US,MT,Montana,Silver Bow County,relation,1740649,6,Counties/County-equivalents,Q484513,,Silver Bow,,
US,MT,Montana,Teton County,relation,1740650,6,Counties/County-equivalents,Q496685,,Teton,,
US,MT,Montana,Toole County,relation,1740651,6,Counties/County-equivalents,Q496722,,Toole,,
US,MT,Montana,Treasure County,relation,1740652,6,Counties/County-equivalents,Q496744,,Treasure,,
US,MT,Montana,Valley County,relation,1740653,6,Counties/County-equivalents,Q496764,,Valley,,
US,MT,Montana,Wheatland County,relation,1740654,6,Counties/County-equivalents,Q496161,,Wheatland,,
US,MT,Montana,Yellowstone County,relation,1740655,6,Counties/County-equivalents,Q490283,,Yellowstone,,
