country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,ND,North Dakota,Billings County,relation,1271252,6,Counties/County-equivalents,Q28321,,Billings,,
US,ND,North Dakota,Stark County,relation,1271253,6,Counties/County-equivalents,Q282188,,Stark,,
US,ND,North Dakota,McKenzie County,relation,1271254,6,Counties/County-equivalents,Q280844,,McKenzie,,
US,ND,North Dakota,Dunn County,relation,1271255,6,Counties/County-equivalents,Q28503,,Dunn,,
US,ND,North Dakota,Golden Valley County,relation,1271256,6,Counties/County-equivalents,Q48926,,Golden Valley,,
US,ND,North Dakota,Slope County,relation,1271257,6,Counties/County-equivalents,Q511487,,Slope,,
US,ND,North Dakota,Adams County,relation,1739788,6,Counties/County-equivalents,Q28316,,Adams,,
US,ND,North Dakota,Bowman County,relation,1739792,6,Counties/County-equivalents,Q28274,,Bowman,,
US,ND,North Dakota,Dickey County,relation,1739808,6,Counties/County-equivalents,Q28488,,Dickey,,
US,ND,North Dakota,Emmons County,relation,1739811,6,Counties/County-equivalents,Q48917,,Emmons,,
US,ND,North Dakota,McIntosh County,relation,1739835,6,Counties/County-equivalents,Q280815,,McIntosh,,
US,ND,North Dakota,Richland County,relation,1739847,6,Counties/County-equivalents,Q126829,,Richland,,
US,ND,North Dakota,Sargent County,relation,1739851,6,Counties/County-equivalents,Q511470,,Sargent,,
US,ND,North Dakota,Sioux County,relation,1739852,6,Counties/County-equivalents,Q48850,,Sioux,,
US,ND,North Dakota,Barnes County,relation,1740271,6,Counties/County-equivalents,Q28308,,Barnes,,
US,ND,North Dakota,Benson County,relation,1740272,6,Counties/County-equivalents,Q28292,,Benson,,
US,ND,North Dakota,Bottineau County,relation,1740273,6,Counties/County-equivalents,Q29124,,Bottineau,,
US,ND,North Dakota,Burke County,relation,1740274,6,Counties/County-equivalents,Q29118,,Burke,,
US,ND,North Dakota,Burleigh County,relation,1740275,6,Counties/County-equivalents,Q28283,,Burleigh,,
US,ND,North Dakota,Cass County,relation,1740276,6,Counties/County-equivalents,Q28285,,Cass,,
US,ND,North Dakota,Cavalier County,relation,1740277,6,Counties/County-equivalents,Q28523,,Cavalier,,
US,ND,North Dakota,Divide County,relation,1740279,6,Counties/County-equivalents,Q28311,,Divide,,
US,ND,North Dakota,Eddy County,relation,1740280,6,Counties/County-equivalents,Q48863,,Eddy,,
US,ND,North Dakota,Foster County,relation,1740281,6,Counties/County-equivalents,Q48931,,Foster,,
US,ND,North Dakota,Grand Forks County,relation,1740282,6,Counties/County-equivalents,Q135328,,Grand Forks,,
US,ND,North Dakota,Grant County,relation,1740283,6,Counties/County-equivalents,Q48834,,Grant,,
US,ND,North Dakota,Griggs County,relation,1740284,6,Counties/County-equivalents,Q48910,,Griggs,,
US,ND,North Dakota,Hettinger County,relation,1740285,6,Counties/County-equivalents,Q48867,,Hettinger,,
US,ND,North Dakota,Kidder County,relation,1740286,6,Counties/County-equivalents,Q135330,,Kidder,,
US,ND,North Dakota,LaMoure County,relation,1740288,6,Counties/County-equivalents,Q48891,,LaMoure,,
US,ND,North Dakota,Logan County,relation,1740289,6,Counties/County-equivalents,Q48896,,Logan,,
US,ND,North Dakota,McHenry County,relation,1740291,6,Counties/County-equivalents,Q280826,,McHenry,,
US,ND,North Dakota,McLean County,relation,1740292,6,Counties/County-equivalents,Q280820,,McLean,,
US,ND,North Dakota,Mercer County,relation,1740293,6,Counties/County-equivalents,Q48905,,Mercer,,
US,ND,North Dakota,Morton County,relation,1740294,6,Counties/County-equivalents,Q28499,,Morton,,
US,ND,North Dakota,Mountrail County,relation,1740295,6,Counties/County-equivalents,Q280838,,Mountrail,,
US,ND,North Dakota,Nelson County,relation,1740296,6,Counties/County-equivalents,Q48902,,Nelson,,
US,ND,North Dakota,Oliver County,relation,1740298,6,Counties/County-equivalents,Q48933,,Oliver,,
US,ND,North Dakota,Pembina County,relation,1740299,6,Counties/County-equivalents,Q48920,,Pembina,,
US,ND,North Dakota,Pierce County,relation,1740301,6,Counties/County-equivalents,Q48878,,Pierce,,
US,ND,North Dakota,Ramsey County,relation,1740303,6,Counties/County-equivalents,Q48937,,Ramsey,,
US,ND,North Dakota,Ransom County,relation,1740304,6,Counties/County-equivalents,Q511461,,Ransom,,
US,ND,North Dakota,Renville County,relation,1740306,6,Counties/County-equivalents,Q48831,,,,
US,ND,North Dakota,Rolette County,relation,1740308,6,Counties/County-equivalents,Q48856,,Rolette,,
US,ND,North Dakota,Sheridan County,relation,1740311,6,Counties/County-equivalents,Q500598,,Sheridan,,
US,ND,North Dakota,Steele County,relation,1740312,6,Counties/County-equivalents,Q511478,,Steele,,
US,ND,North Dakota,Stutsman County,relation,1740313,6,Counties/County-equivalents,Q511498,,Stutsman,,
US,ND,North Dakota,Towner County,relation,1740314,6,Counties/County-equivalents,Q511510,,Towner,,
US,ND,North Dakota,Traill County,relation,1740315,6,Counties/County-equivalents,Q511524,,Traill,,
US,ND,North Dakota,Walsh County,relation,1740316,6,Counties/County-equivalents,Q28286,,Walsh,,
US,ND,North Dakota,Ward County,relation,1740317,6,Counties/County-equivalents,Q48927,,Ward,,
US,ND,North Dakota,Wells County,relation,1740318,6,Counties/County-equivalents,Q48874,,Wells,,
US,ND,North Dakota,Williams County,relation,1740321,6,Counties/County-equivalents,Q28496,,Williams,,
