country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,NY,New York,Rocky,way,38528283,9,Wards/Districts,,,,,
US,NY,New York,Ward 1,relation,12952565,9,Wards/Districts,,,,,
US,NY,New York,Ward 2,relation,12952566,9,Wards/Districts,,,,,
US,NY,New York,Ward 3,relation,12952709,9,Wards/Districts,,,,,
US,NY,New York,Ward 4,relation,12952710,9,Wards/Districts,,,,,
US,NY,New York,Ward 6,relation,12952711,9,Wards/Districts,,,,,
US,NY,New York,Ward 5,relation,12952712,9,Wards/Districts,,,,,
US,NY,New York,Ward 1,relation,16056677,9,Wards/Districts,,,,,
US,NY,New York,Ward 3,relation,16056678,9,Wards/Districts,,,,,
US,NY,New York,Ward 2,relation,16056679,9,Wards/Districts,,,,,
US,NY,New York,Ward 4,relation,16056680,9,Wards/Districts,,,,,
US,NY,New York,Ward 5,relation,16056681,9,Wards/Districts,,,,,
US,NY,New York,District 1,relation,16061087,9,Wards/Districts,,,,,
US,NY,New York,District 2,relation,16061088,9,Wards/Districts,,,,,
US,NY,New York,District 1,relation,16061090,9,Wards/Districts,,,,,
US,NY,New York,District 2,relation,16061091,9,Wards/Districts,,,,,
US,NY,New York,District 2,relation,16061093,9,Wards/Districts,,,,,
US,NY,New York,District 1,relation,16061094,9,Wards/Districts,,,,,
US,NY,New York,District 1,relation,16061096,9,Wards/Districts,,,,,
US,NY,New York,District 2,relation,16061097,9,Wards/Districts,,,,,
US,NY,New York,District 1,relation,16061099,9,Wards/Districts,,,,,
US,NY,New York,District 2,relation,16061100,9,Wards/Districts,,,,,
US,NY,New York,District 1,relation,16061102,9,Wards/Districts,,,,,
US,NY,New York,District 2,relation,16061103,9,Wards/Districts,,,,,
US,NY,New York,District 1,relation,16061105,9,Wards/Districts,,,,,
US,NY,New York,District 2,relation,16061106,9,Wards/Districts,,,,,
US,NY,New York,District 1,relation,16061108,9,Wards/Districts,,,,,
US,NY,New York,District 2,relation,16061109,9,Wards/Districts,,,,,
