country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,OH,Ohio,County Line Road,way,38006190,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,59062499,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,59062503,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,59062505,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,59062508,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,59063282,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,879134600,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,879134601,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,879134602,6,Counties/County-equivalents,,,,,
US,OH,Ohio,,way,879134603,6,Counties/County-equivalents,,,,,
US,OH,Ohio,Warren County,relation,104778,6,Counties/County-equivalents,Q489576,,,,
US,OH,Ohio,Clermont County,relation,104779,6,Counties/County-equivalents,Q485582,,,,
US,OH,Ohio,Clinton County,relation,104780,6,Counties/County-equivalents,Q113875,,,,
US,OH,Ohio,Greene County,relation,104781,6,Counties/County-equivalents,Q825807,,,,
US,OH,Ohio,Montgomery County,relation,104782,6,Counties/County-equivalents,Q485600,,,,
US,OH,Ohio,Butler County,relation,104783,6,Counties/County-equivalents,Q485561,,,,
US,OH,Ohio,Hamilton County,relation,104784,6,Counties/County-equivalents,Q152891,,,,
US,OH,Ohio,Brown County,relation,163283,6,Counties/County-equivalents,Q111575,,,,
US,OH,Ohio,Franklin County,relation,177915,6,Counties/County-equivalents,Q113237,,,,
US,OH,Ohio,Madison County,relation,177916,6,Counties/County-equivalents,Q485526,,,,
US,OH,Ohio,Union County,relation,178021,6,Counties/County-equivalents,Q489536,,,,
US,OH,Ohio,Delaware County,relation,178339,6,Counties/County-equivalents,Q485524,,,,
US,OH,Ohio,Licking County,relation,178389,6,Counties/County-equivalents,Q490150,,,,
US,OH,Ohio,Fairfield County,relation,178391,6,Counties/County-equivalents,Q490157,,,,
US,OH,Ohio,Pickaway County,relation,178392,6,Counties/County-equivalents,Q386271,,,,
US,OH,Ohio,Clark County,relation,180912,6,Counties/County-equivalents,Q485558,,,,
US,OH,Ohio,Champaign County,relation,180915,6,Counties/County-equivalents,Q389573,,,,
US,OH,Ohio,Logan County,relation,184059,6,Counties/County-equivalents,Q490190,,,,
US,OH,Ohio,Marion County,relation,185761,6,Counties/County-equivalents,Q489553,,,,
US,OH,Ohio,Morrow County,relation,185762,6,Counties/County-equivalents,Q487280,,,,
