country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,OR,Oregon,,way,754453284,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453287,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453290,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453294,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453295,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453307,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453309,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453310,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453311,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453312,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,754453313,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,,way,932235143,10,Neighborhoods/Hamlets,,,,,
US,OR,Oregon,Lents,relation,2676520,10,Neighborhoods/Hamlets,Q6523399,,,,
US,OR,Oregon,Roseway,relation,6549433,10,Neighborhoods/Hamlets,Q7368757,,,,
US,OR,Oregon,Cully,relation,6549638,10,Neighborhoods/Hamlets,Q5193066,,,,
US,OR,Oregon,Irvington,relation,7631277,10,Neighborhoods/Hamlets,Q11285830,,,,
US,OR,Oregon,Sabin,relation,7631278,10,Neighborhoods/Hamlets,Q7396102,,,,
US,OR,Oregon,King,relation,7631279,10,Neighborhoods/Hamlets,Q6411156,,,,
US,OR,Oregon,Eliot,relation,7631280,10,Neighborhoods/Hamlets,Q5361209,,,,
US,OR,Oregon,Grant Park,relation,7631283,10,Neighborhoods/Hamlets,Q5596392,,,,
US,OR,Oregon,Alameda,relation,7631288,10,Neighborhoods/Hamlets,Q4705849,,,,
US,OR,Oregon,Concordia,relation,7690254,10,Neighborhoods/Hamlets,Q5158940,,,,
US,OR,Oregon,Beaumont-Wilshire,relation,7690255,10,Neighborhoods/Hamlets,Q4877538,,,,
US,OR,Oregon,Rose City Park,relation,7690265,10,Neighborhoods/Hamlets,Q7367681,,,,
US,OR,Oregon,Hollywood,relation,7690266,10,Neighborhoods/Hamlets,Q5882686,,Hollywood District,,
US,OR,Oregon,Sullivan's Gulch,relation,7690267,10,Neighborhoods/Hamlets,Q7636365,,,,
US,OR,Oregon,Laurelhurst,relation,7690268,10,Neighborhoods/Hamlets,Q6500069,,,,
US,OR,Oregon,Kerns,relation,7690368,10,Neighborhoods/Hamlets,Q6394231,,,,
US,OR,Oregon,Lloyd District,relation,7690369,10,Neighborhoods/Hamlets,Q6662383,,,,
US,OR,Oregon,Old Town,relation,7692211,10,Neighborhoods/Hamlets,Q7085276,,Old Town/Chinatown,,
US,OR,Oregon,Boise,relation,7692256,10,Neighborhoods/Hamlets,Q4938437,,,,
US,OR,Oregon,Overlook,relation,7692257,10,Neighborhoods/Hamlets,Q7113805,,,,
US,OR,Oregon,Pearl District,relation,7692258,10,Neighborhoods/Hamlets,Q7158073,,The Pearl,,
US,OR,Oregon,Humboldt,relation,7692294,10,Neighborhoods/Hamlets,Q5940233,,,,
US,OR,Oregon,Piedmont,relation,7692295,10,Neighborhoods/Hamlets,Q7191484,,,,
US,OR,Oregon,Woodlawn,relation,7692296,10,Neighborhoods/Hamlets,Q8032986,,,,
US,OR,Oregon,Vernon,relation,7692297,10,Neighborhoods/Hamlets,Q7922044,,,,
US,OR,Oregon,Sunderland,relation,7692380,10,Neighborhoods/Hamlets,Q7639683,,,,
US,OR,Oregon,Sumner,relation,7692425,10,Neighborhoods/Hamlets,Q7637944,,,,
US,OR,Oregon,Arbor Lodge,relation,7696489,10,Neighborhoods/Hamlets,Q4784768,,,,
US,OR,Oregon,Kenton,relation,7696490,10,Neighborhoods/Hamlets,Q6392067,,,,
