country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,TX,Texas,Cedar Bayou,way,1295602152,6,Counties/County-equivalents,,,,,
US,TX,Texas,,way,1386058127,6,Counties/County-equivalents,,,,,
US,TX,Texas,Hays County,relation,91858,6,Counties/County-equivalents,Q27018,,Hays,,
US,TX,Texas,Comal County,relation,91911,6,Counties/County-equivalents,Q109204,,Comal,,
US,TX,Texas,Blanco County,relation,91933,6,Counties/County-equivalents,Q26914,,Blanco,,
US,TX,Texas,Travis County,relation,91939,6,Counties/County-equivalents,Q110426,,Travis,,
US,TX,Texas,Caldwell County,relation,92017,6,Counties/County-equivalents,Q26591,,Caldwell,,
US,TX,Texas,Guadalupe County,relation,92024,6,Counties/County-equivalents,Q26610,,Guadalupe,,
US,TX,Texas,Bexar County,relation,92026,6,Counties/County-equivalents,Q16861,,Bexar,,
US,TX,Texas,Kendall County,relation,92032,6,Counties/County-equivalents,Q115428,,Kendall,,
US,TX,Texas,Montgomery County,relation,1560394,6,Counties/County-equivalents,Q26756,,Montgomery,,
US,TX,Texas,Harris County,relation,1560395,6,Counties/County-equivalents,Q26676,,Harris,,
US,TX,Texas,Liberty County,relation,1560411,6,Counties/County-equivalents,Q26719,,Liberty,,
US,TX,Texas,Chambers County,relation,1560412,6,Counties/County-equivalents,Q26598,,Chambers,,
US,TX,Texas,Fort Bend County,relation,1560525,6,Counties/County-equivalents,Q26895,,Fort Bend,,
US,TX,Texas,Galveston County,relation,1560526,6,Counties/County-equivalents,Q26587,,,,
US,TX,Texas,Brazoria County,relation,1560527,6,Counties/County-equivalents,Q27034,,Brazoria,,
US,TX,Texas,Waller County,relation,1561035,6,Counties/County-equivalents,Q26701,,Waller,,
US,TX,Texas,Lamar County,relation,1634428,6,Counties/County-equivalents,Q113313,,Lamar,,
US,TX,Texas,Fannin County,relation,1634509,6,Counties/County-equivalents,Q111593,,Fannin,,
US,TX,Texas,Grayson County,relation,1634544,6,Counties/County-equivalents,Q109457,,Grayson,,
US,TX,Texas,Medina County,relation,1651194,6,Counties/County-equivalents,Q110421,,Medina,,
US,TX,Texas,Bandera County,relation,1651195,6,Counties/County-equivalents,Q108367,,Bandera,,
US,TX,Texas,Wilson County,relation,1656651,6,Counties/County-equivalents,Q156479,,Wilson,,
US,TX,Texas,Atascosa County,relation,1657497,6,Counties/County-equivalents,Q108372,,Atascosa,,
US,TX,Texas,Frio County,relation,1657498,6,Counties/County-equivalents,Q27011,,Frio,,
US,TX,Texas,Dallam County,relation,1807484,6,Counties/County-equivalents,Q109303,,Dallam,,
US,TX,Texas,Sherman County,relation,1807489,6,Counties/County-equivalents,Q114423,,Sherman,,
US,TX,Texas,Hansford County,relation,1807497,6,Counties/County-equivalents,Q109646,,Hansford,,
US,TX,Texas,Ochiltree County,relation,1807507,6,Counties/County-equivalents,Q485920,,Ochiltree,,
US,TX,Texas,Lipscomb County,relation,1807513,6,Counties/County-equivalents,Q112584,,Lipscomb,,
US,TX,Texas,Hartley County,relation,1809481,6,Counties/County-equivalents,Q112714,,Hartley,,
US,TX,Texas,Moore County,relation,1809485,6,Counties/County-equivalents,Q156464,,Moore,,
US,TX,Texas,Hutchinson County,relation,1809487,6,Counties/County-equivalents,Q484542,,Hutchinson,,
US,TX,Texas,Roberts County,relation,1809517,6,Counties/County-equivalents,Q114445,,Roberts,,
US,TX,Texas,Hemphill County,relation,1809527,6,Counties/County-equivalents,Q112078,,Hemphill,,
US,TX,Texas,Oldham County,relation,1809529,6,Counties/County-equivalents,Q112526,,Oldham,,
US,TX,Texas,Potter County,relation,1809534,6,Counties/County-equivalents,Q113293,,Potter,,
US,TX,Texas,Carson County,relation,1809554,6,Counties/County-equivalents,Q109155,,Carson,,
