country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,UT,Utah,Heritage Southwest Estates,way,879491126,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,The Highlands at Wolf Creek,way,1086046087,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,The Retreat,way,1097139408,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Trappers Ridge,way,1150846391,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,The Ridge Townhomes,way,1150854033,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Osprey Ranch,way,1150881164,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Trappers Crossing,way,1387917861,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Proposed Cobabe Ranch,way,1387921193,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Lakeside Village,way,1393172466,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Edgewater Beach Resort,way,1393179662,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Chalets at Ski Lake,way,1393435415,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Patio Springs,way,1415088155,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Wolf Star,relation,19449421,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Yalecrest,relation,19508933,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Westpointe,relation,19508934,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Wasatch Hollow,relation,19508935,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Sugar House,relation,19508936,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Rose Park,relation,19508937,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Poplar Grove,relation,19508938,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Liberty Wells,relation,19508939,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Jordan Meadows,relation,19508940,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Greater Avenues,relation,19508941,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Granary District,relation,19508942,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Glendale,relation,19508943,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Foothill / Sunnyside,relation,19508944,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Fairpark,relation,19508945,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,East Liberty Park,relation,19508946,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,East Central,relation,19508947,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,East Bench,relation,19508948,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Downtown,relation,19508949,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Central Ninth,relation,19508950,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Central City,relation,19508951,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Capitol Hill,relation,19508952,10,Neighborhoods/Hamlets,,,,,
US,UT,Utah,Ballpark,relation,19508953,10,Neighborhoods/Hamlets,,,,,
