country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,VI,United States Virgin Islands,,way,41099338,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,41099493,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,41099827,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,41100166,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,41100497,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1039736916,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300881319,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300881322,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300881324,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300889744,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300902464,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300902466,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300902468,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300902470,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300917764,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,,way,1300922183,8,Cities/Towns/Villages/Municipalities,,,,,
US,VI,United States Virgin Islands,Frederiksted,relation,255301,8,Cities/Towns/Villages/Municipalities,Q692376,,,,
US,VI,United States Virgin Islands,Frederiksted Southeast,relation,255303,8,Cities/Towns/Villages/Municipalities,Q692376,,,,
US,VI,United States Virgin Islands,Grove Place,relation,255304,8,Cities/Towns/Villages/Municipalities,Q5611438,,,,
US,VI,United States Virgin Islands,Anna's Retreat,relation,255305,8,Cities/Towns/Villages/Municipalities,Q4066620,,,,
