country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,WI,Wisconsin,Silver Lake,relation,242820,10,Neighborhoods/Hamlets,Q2671412,,,,
US,WI,Wisconsin,Brokaw,relation,251829,10,Neighborhoods/Hamlets,Q2171754,,,,
US,WI,Wisconsin,Lake Shangrila,relation,252035,10,Neighborhoods/Hamlets,Q1569684,,,,
US,WI,Wisconsin,Greenbriar Estates,relation,3762501,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Marquette,relation,3836905,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,VanChaMasShe,relation,4049054,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Tenney-Lapham,relation,4053209,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,East Shore Drive,relation,4092815,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Monona Bay,relation,4231036,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Greenbush,relation,4231142,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Mansion Hill,relation,4264136,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,State-Langdon,relation,4264137,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,James Madison Park,relation,4264142,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,First Settlement,relation,4266203,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Bassett,relation,4266209,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Mifflin West,relation,4266226,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Sherman Terrace,relation,4266659,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,South Campus,relation,4266660,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Belle Isle,relation,4269311,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Frost Woods,relation,4269319,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Mendota Hills,relation,4446138,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Vera Court,relation,4446297,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Kennedy Heights,relation,4446316,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Lake View Hill,relation,4446324,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Trinity Park,relation,4446351,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,East Bluff,relation,4446395,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Whitetail Ridge,relation,4446400,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Sherman Village,relation,4446418,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Cherokee Park,relation,4446473,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Cherokee Garden,relation,4446477,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,North Lake Mendota,relation,4446478,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Nobel Park,relation,4450988,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Lerdahl Park,relation,4450997,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Brentwood Village,relation,4451014,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Sheridan Triangle,relation,4451075,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Sherman,relation,4451097,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Berkley Oaks,relation,4451261,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Majestic Oaks,relation,4451262,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Schenk-Atwood-Starkweather-Yahara,relation,4459779,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Worthington Park,relation,4462073,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Dutch Hollow Lake,relation,4468782,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Rocky Bluff,relation,4504530,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Sunset Hills,relation,4504534,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Sunset Village,relation,4504535,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Bram's Addition,relation,4508250,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Westmorland,relation,4557443,10,Neighborhoods/Hamlets,,,,,
US,WI,Wisconsin,Glen Oak Hills,relation,4611266,10,Neighborhoods/Hamlets,,,,,
