country,state_abbr,state_name,name,osm_type,osm_id,admin_level,level_name,wikidata,fips,alt_name,short_name,official_name
US,WV,West Virginia,Follansbee,relation,238579,8,Cities/Towns/Villages/Municipalities,Q2037122,,,,
US,WV,West Virginia,Glen Dale,relation,238585,8,Cities/Towns/Villages/Municipalities,Q2709188,,,,
US,WV,West Virginia,Moundsville,relation,238586,8,Cities/Towns/Villages/Municipalities,Q2361821,,,,
US,WV,West Virginia,McMechen,relation,238587,8,Cities/Towns/Villages/Municipalities,Q2409406,,,,
US,WV,West Virginia,Benwood,relation,238589,8,Cities/Towns/Villages/Municipalities,Q2374632,,,,
US,WV,West Virginia,Ridgeley,relation,238590,8,Cities/Towns/Villages/Municipalities,Q1810237,,,,
US,WV,West Virginia,Carpendale,relation,238633,8,Cities/Towns/Villages/Municipalities,Q2589846,,,,
US,WV,West Virginia,North Hills,relation,238634,8,Cities/Towns/Villages/Municipalities,Q2028388,,,,
US,WV,West Virginia,Lewisburg,relation,238636,8,Cities/Towns/Villages/Municipalities,Q731071,,,,
US,WV,West Virginia,Ceredo,relation,238638,8,Cities/Towns/Villages/Municipalities,Q2532299,,,,
US,WV,West Virginia,Poca,relation,238640,8,Cities/Towns/Villages/Municipalities,Q2386599,,,,
US,WV,West Virginia,Bolivar,relation,238641,8,Cities/Towns/Villages/Municipalities,Q3313625,,,,
US,WV,West Virginia,Harpers Ferry,relation,238642,8,Cities/Towns/Villages/Municipalities,Q985289,,,,
US,WV,West Virginia,Henderson,relation,238643,8,Cities/Towns/Villages/Municipalities,Q3314509,,,,
US,WV,West Virginia,New Haven,relation,238644,8,Cities/Towns/Villages/Municipalities,Q2513216,,,,
US,WV,West Virginia,Hartford City,relation,238645,8,Cities/Towns/Villages/Municipalities,Q1906612,,,,
US,WV,West Virginia,Davis,relation,238646,8,Cities/Towns/Villages/Municipalities,Q1177926,,,,
US,WV,West Virginia,Hendricks,relation,238647,8,Cities/Towns/Villages/Municipalities,Q946103,,,,
US,WV,West Virginia,Hambleton,relation,238648,8,Cities/Towns/Villages/Municipalities,Q2392419,,,,
US,WV,West Virginia,Madison,relation,238649,8,Cities/Towns/Villages/Municipalities,Q2532255,,,,
US,WV,West Virginia,Danville,relation,238650,8,Cities/Towns/Villages/Municipalities,Q1865438,,,,
US,WV,West Virginia,Sophia,relation,238653,8,Cities/Towns/Villages/Municipalities,Q2879657,,,,
US,WV,West Virginia,Mabscott,relation,238654,8,Cities/Towns/Villages/Municipalities,Q2467263,,,,
US,WV,West Virginia,Clearview,relation,238656,8,Cities/Towns/Villages/Municipalities,Q2803110,,,,
US,WV,West Virginia,Bethlehem,relation,238657,8,Cities/Towns/Villages/Municipalities,Q2524842,,,,
US,WV,West Virginia,Milton,relation,238658,8,Cities/Towns/Villages/Municipalities,Q3313661,,,,
US,WV,West Virginia,Chester,relation,238662,8,Cities/Towns/Villages/Municipalities,Q2456185,,,,
US,WV,West Virginia,Cedar Grove,relation,238666,8,Cities/Towns/Villages/Municipalities,Q2623734,,,,
US,WV,West Virginia,Glasgow,relation,238667,8,Cities/Towns/Villages/Municipalities,Q1871967,,,,
US,WV,West Virginia,Chesapeake,relation,238668,8,Cities/Towns/Villages/Municipalities,Q2962829,,,,
US,WV,West Virginia,Belle,relation,238669,8,Cities/Towns/Villages/Municipalities,Q2555394,,,,
US,WV,West Virginia,Granville,relation,238671,8,Cities/Towns/Villages/Municipalities,Q2142385,,,,
US,WV,West Virginia,Star City,relation,238672,8,Cities/Towns/Villages/Municipalities,Q1901376,,,,
US,WV,West Virginia,Stonewood,relation,238674,8,Cities/Towns/Villages/Municipalities,Q2097145,,,,
US,WV,West Virginia,Nutter Fort,relation,238681,8,Cities/Towns/Villages/Municipalities,Q2262512,,,,
US,WV,West Virginia,Anmoore,relation,238689,8,Cities/Towns/Villages/Municipalities,Q2228600,,,,
US,WV,West Virginia,Logan,relation,238690,8,Cities/Towns/Villages/Municipalities,Q2361794,,,,
US,WV,West Virginia,West Logan,relation,238691,8,Cities/Towns/Villages/Municipalities,Q2552859,,,,
US,WV,West Virginia,Man,relation,238693,8,Cities/Towns/Villages/Municipalities,Q2194748,,,,
US,WV,West Virginia,Williamson,relation,238695,8,Cities/Towns/Villages/Municipalities,Q2405120,,,,
US,WV,West Virginia,Gilbert,relation,238702,8,Cities/Towns/Villages/Municipalities,Q514900,,,,
US,WV,West Virginia,Smithers,relation,238708,8,Cities/Towns/Villages/Municipalities,Q1953184,,,,
US,WV,West Virginia,Montgomery,relation,238710,8,Cities/Towns/Villages/Municipalities,Q2361837,,,,
US,WV,West Virginia,Beverly,relation,238713,8,Cities/Towns/Villages/Municipalities,Q2497895,,,,
US,WV,West Virginia,Keystone,relation,238714,8,Cities/Towns/Villages/Municipalities,Q2532265,,,,
US,WV,West Virginia,Northfork,relation,238715,8,Cities/Towns/Villages/Municipalities,Q2360196,,,,
US,WV,West Virginia,Weirton,relation,238747,8,Cities/Towns/Villages/Municipalities,Q1873442,,,,
US,WV,West Virginia,White Hall,relation,238748,8,Cities/Towns/Villages/Municipalities,Q2776614,,,,
US,WV,West Virginia,Kenova,relation,238750,8,Cities/Towns/Villages/Municipalities,Q960895,,,,
US,WV,West Virginia,Triadelphia,relation,238751,8,Cities/Towns/Villages/Municipalities,Q2246898,,,,
US,WV,West Virginia,Dunbar,relation,238752,8,Cities/Towns/Villages/Municipalities,Q2164294,,,,
US,WV,West Virginia,Gassaway,relation,239840,8,Cities/Towns/Villages/Municipalities,Q3053709,,,,
US,WV,West Virginia,Hedgesville,relation,239859,8,Cities/Towns/Villages/Municipalities,Q2528051,,,,
US,WV,West Virginia,Martinsburg,relation,239860,8,Cities/Towns/Villages/Municipalities,Q1010194,,,,
US,WV,West Virginia,Beech Bottom,relation,239861,8,Cities/Towns/Villages/Municipalities,Q2231673,,,,
US,WV,West Virginia,Bethany,relation,239862,8,Cities/Towns/Villages/Municipalities,Q3313676,,,,
