name,abbr,osm_type,osm_id,admin_level,level_name,iso3166_2,wikidata,fips
Vermont,VT,relation,60759,4,States/DC/Territories,US-VT,Q16551,
Massachusetts,MA,relation,61315,4,States/DC/Territories,US-MA,Q771,
New York,NY,relation,61320,4,States/DC/Territories,US-NY,Q1384,
Maine,ME,relation,63512,4,States/DC/Territories,US-ME,Q724,
New Hampshire,NH,relation,67213,4,States/DC/Territories,US-NH,Q759,
Texas,TX,relation,114690,4,States/DC/Territories,US-TX,Q1439,
Illinois,IL,relation,122586,4,States/DC/Territories,US-IL,Q1204,
Missouri,MO,relation,161638,4,States/DC/Territories,US-MO,Q1581,
Kansas,KS,relation,161644,4,States/DC/Territories,US-KS,Q1558,
Oklahoma,OK,relation,161645,4,States/DC/Territories,US-OK,Q1649,
Arkansas,AR,relation,161646,4,States/DC/Territories,US-AR,Q1612,
Nebraska,NE,relation,161648,4,States/DC/Territories,US-NE,Q1553,
Iowa,IA,relation,161650,4,States/DC/Territories,US-IA,Q1546,
South Dakota,SD,relation,161652,4,States/DC/Territories,US-SD,Q1211,
North Dakota,ND,relation,161653,4,States/DC/Territories,US-ND,Q1207,
Kentucky,KY,relation,161655,4,States/DC/Territories,US-KY,Q1603,
Indiana,IN,relation,161816,4,States/DC/Territories,US-IN,Q1415,
Tennessee,TN,relation,161838,4,States/DC/Territories,US-TN,Q1509,
Mississippi,MS,relation,161943,4,States/DC/Territories,US-MS,Q1494,
Alabama,AL,relation,161950,4,States/DC/Territories,US-AL,Q173,
Georgia,GA,relation,161957,4,States/DC/Territories,US-GA,Q1428,
Colorado,CO,relation,161961,4,States/DC/Territories,US-CO,Q1261,
Wyoming,WY,relation,161991,4,States/DC/Territories,US-WY,Q1214,
Utah,UT,relation,161993,4,States/DC/Territories,US-UT,Q829,
New Mexico,NM,relation,162014,4,States/DC/Territories,US-NM,Q1522,
Arizona,AZ,relation,162018,4,States/DC/Territories,US-AZ,Q816,
Florida,FL,relation,162050,4,States/DC/Territories,US-FL,Q812,
Ohio,OH,relation,162061,4,States/DC/Territories,US-OH,Q1397,
West Virginia,WV,relation,162068,4,States/DC/Territories,US-WV,Q1371,
District of Columbia,DC,relation,162069,4,States/DC/Territories,US-DC,Q3551781,
Pennsylvania,PA,relation,162109,4,States/DC/Territories,US-PA,Q1400,
Delaware,DE,relation,162110,4,States/DC/Territories,US-DE,Q1393,
Maryland,MD,relation,162112,4,States/DC/Territories,US-MD,Q1391,
Montana,MT,relation,162115,4,States/DC/Territories,US-MT,Q1212,
Idaho,ID,relation,162116,4,States/DC/Territories,US-ID,Q1221,
Wisconsin,WI,relation,165466,4,States/DC/Territories,US-WI,Q1537,
Minnesota,MN,relation,165471,4,States/DC/Territories,US-MN,Q1527,
Nevada,NV,relation,165473,4,States/DC/Territories,US-NV,Q1227,
California,CA,relation,165475,4,States/DC/Territories,US-CA,Q99,
Oregon,OR,relation,165476,4,States/DC/Territories,US-OR,Q824,
Washington,WA,relation,165479,4,States/DC/Territories,US-WA,Q1223,
Michigan,MI,relation,165789,4,States/DC/Territories,US-MI,Q1166,
Connecticut,CT,relation,165794,4,States/DC/Territories,US-CT,Q779,
Hawaii,HI,relation,166563,4,States/DC/Territories,US-HI,Q782,
South Carolina,SC,relation,224040,4,States/DC/Territories,US-SC,Q1456,
Virginia,VA,relation,224042,4,States/DC/Territories,US-VA,Q1370,
North Carolina,NC,relation,224045,4,States/DC/Territories,US-NC,Q1454,
Louisiana,LA,relation,224922,4,States/DC/Territories,US-LA,Q1588,
New Jersey,NJ,relation,224951,4,States/DC/Territories,US-NJ,Q1408,
United States Virgin Islands,VI,relation,286898,4,States/DC/Territories,US-VI,Q11703,
Guam,GU,relation,306001,4,States/DC/Territories,US-GU,Q16635,
Northern Mariana Islands,MP,relation,306004,4,States/DC/Territories,US-MP,Q16644,
Rhode Island,RI,relation,392915,4,States/DC/Territories,US-RI,Q1387,
Alaska,AK,relation,1116270,4,States/DC/Territories,US-AK,Q797,
American Samoa,AS,relation,2177187,4,States/DC/Territories,US-AS,Q16641,
Puerto Rico,PR,relation,4422604,4,States/DC/Territories,US-PR,Q1183,
